GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions,TransactionType,16,123,1,3,2,15,3,5,2,4
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions,Transaction,43,48,6,4,4,14,7,6,2,6
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions,Action,14,51,1,5,1,16,1,5,0,3
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions,ActionFailedException,0,9,0,0,0,4,0,2,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions.actions,TransferAction,0,17,0,0,0,5,0,2,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions.actions,DeleteAccountAction,0,49,0,6,0,11,0,5,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions.actions,WithdrawalAction,0,12,0,0,0,4,0,2,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions.actions,CreateAccountAction,0,39,0,2,0,7,0,3,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office.transactions.actions,DepositAction,0,12,0,0,0,4,0,2,0,2
afkQuinteracBackend,ca.queensu.cisc327.afk.office,Account,59,118,8,16,8,25,9,13,2,8
afkQuinteracBackend,ca.queensu.cisc327.afk.office,main,502,0,34,0,92,0,24,0,7,0
afkQuinteracBackend,ca.queensu.cisc327.afk.office,NullAccount,5,6,0,0,1,2,1,1,1,1
afkQuinteracBackend,ca.queensu.cisc327.afk.office,main.transactionCodeException,4,0,0,0,2,0,1,0,1,0
afkQuinteracBackend,ca.queensu.cisc327.afk.office,AccountConstraintViolation,0,4,0,0,0,2,0,1,0,1
afkQuinteracBackend,ca.queensu.cisc327.afk.office,main.moreThanOneSpaceException,4,0,0,0,2,0,1,0,1,0
afkQuinteracBackend,ca.queensu.cisc327.afk.office,main.exceedMaxLenthException,4,0,0,0,2,0,1,0,1,0
afkQuinteracBackend,ca.queensu.cisc327.afk.office,BackOffice,202,0,10,0,36,0,7,0,2,0
